artist_name,track_name,track_id
OneRepublic,I Ain't Worried,4h9wh7iOZ0GGn8QVp4RAOB
Bruno Mars,When I Was Your Man,0nJW01T7XtvILxQgC5J7Wh
Ruth B.,Dandelions,2eAvDnpXP5W0cVtiI0PUxV
Billie Eilish,Happier Than Ever,4RVwu0g32PAqgUiJoXsdF8
Elton John,Cold Heart - PNAU Remix,6zSpb8dQRaw0M1dK8PBwQz
Taylor Swift,Midnight Rain,3rWDp9tBPQR9z6U5YyRSK4
Imagine Dragons,Thunder,1zB4vmk8tFRmM9UULNzbLB
Sam Smith,Stay With Me,5Nm9ERjJZ5oyfXZTECKmRt
Morat,No Se Va,4khWEpnaijN0G1x019Uzdr
beabadoobee,Glue Song,3iBgrkexCzVuPy4O9vx7Mf
Bruno Mars,That's What I Like,0KKkJNfGyhkQ5aFogxQAPU
Capital Cities,Safe And Sound,6Z8R6UsFuGXGtiIxiD8ISb
NewJeans,Cookie,2DwUdMJ5uxv20EhAildreg
The Weeknd,Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,1oFAF1hdPOickyHgbuRjyX
Mark Ronson,Uptown Funk (feat. Bruno Mars),32OlwWuMpZ6b0aN2RZOeMS
Måneskin,I WANNA BE YOUR SLAVE,4pt5fDVTg5GhEvEtlz9dKk
The Weeknd,Save Your Tears (with Ariana Grande) (Remix),37BZB0z9T8Xu7U3e65qxFy
TV Girl,Cigarettes out the Window,6QeYSvYqYUsfBzsApbjDHO
Rihanna,S&M,7ySUcLPVX7KudhnmNcgY2D
Lana Del Rey,Brooklyn Baby,1NZs6n6hl8UuMaX0UC0YTz
Maroon 5,Sugar,2iuZJX9X9P0GKaE93xcPjk
Lost Frequencies,Back To You,3K00Ib1shkOEiAXU5pec6e
Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),5enxwA8aAbwZbf5qCHORXi
Pritam,"Kesariya (From ""Brahmastra"")",6VBhH7CyP56BXjp8VsDFPZ
Harry Styles,Satellite,0rzaRSujxA0bKyjJl6vHYq
Harry Styles,Daylight,51Zw1cKDgkad0CXv23HCMU
Arctic Monkeys,505,58ge6dfP91o9oXMzq3XkIS
Kodaline,All I Want,0NlGoUyOJSuSHmngoibVAs
Khalid,Young Dumb & Broke,5Z3GHaZ6ec9bsiI5BenrbY
Luke Combs,The Kind of Love We Make,48UKTR66uUOT9LaUvooTNx
Ava Max,Sweet but Psycho,7DnAm9FOTWE3cUvso43HhI
Adele,Oh My God,3Kkjo3cT83cw09VJyrLNwX
Calum Scott,Dancing On My Own,2BOqDYLOJBiMOXShCV1neZ
Cian Ducrot,I'll Be Waiting,0JIhRhZPF5j5dx0FGqTWxy
Daddy Yankee,Gasolina,228BxWXUYQPJrJYHDLOHkj
Zach Bryan,Dawns (feat. Maggie Rogers),42TtHTxWk782ZBiqyOi2d1
Billie Eilish,i love you,6CcJMwBtXByIz4zQLzFkKc
Taylor Swift,The Man,3RauEVgRgj1IuWdJ9fDs70
Morgan Wallen,Devil Don’t Know,2PsbT927UanvyH9VprlNOu
PARTYNEXTDOOR,Her Way,3JEJwjqLkg2Jbau5922CAb
Of Monsters and Men,Little Talks,2ihCaVdNZmnHZWt0fvAM7B
Billie Eilish,Happier Than Ever - Edit,32BeYxKPrig1LefHsC0Xuo
Clairo,Sofia,7B3z0ySL9Rr0XvZEAjWZzM
Julia Michaels,What A Time (feat. Niall Horan),5WtfUKzXircvW8l5aaVZWT
Morgan Wallen,Whiskey Friends,2ewSCWOL7EAjgmgqfI1UlS
Morgan Wallen,Dying Man,4kvjThnfQIsPOKjxx0aZDu
Ed Sheeran,Happier,2RttW7RAu5nOAfq6YFvApB
SZA,Special,6RQ5IwG7uADz9LDWliJGjU
Aditya A,Chaand Baaliyan,0snQrp1VaY5Pj1YIHRJpRJ
Gera MX,Botella Tras Botella,2MnLkFqY9Rpg9s3Zv6ZJdK
Sebastian Yatra,Una Noche Sin Pensar,2oW52tBeJNSv93Ct5AJb8q
NIKI,lowkey,5TTXEcfsYLh6fTarLaevTi
Jasleen Royal,"Ranjha (From ""Shershaah"")",72zHuDxFQTjbL51qJQSA7j
The Kid LAROI,WITHOUT YOU,1KMkcUvF7m3SDChDOa7i5L
Plain White T's,Hey There Delilah,4RCWB3V8V0dignt99LZ8vH
ZAYN,I Don’t Wanna Live Forever (Fifty Shades Darker),55n9yjI6qqXh5F2mYvUc2y
Sia,Snowman,7uoFMmxln0GPXQ0AcCBXRq
Meghan Trainor,Like I'm Gonna Lose You (feat. John Legend),2YlZnw2ikdb837oKMKjBkW
Luke Combs,Forever After All,6IBcOGPsniK3Pso1wHIhew
American Authors,Best Day Of My Life,5Hroj5K7vLpIG4FNCRIjbP
The Weeknd,Less Than Zero,2D4dV2KXDTszzJ3p3cFqhA
Train,Drops of Jupiter (Tell Me),2hKdd3qO7cWr2Jo0Bcs0MA
Benson Boone,GHOST TOWN,135Lf4Q0CzlMNfOxbEUsLH
Jay Sean,Down,6cmm1LMvZdB5zsCwX5BjqE
BTS,Euphoria,5YMXGBD6vcYP7IolemyLtK
Harry Styles,Fine Line,6VzcQuzTNTMFnJ6rBSaLH9
jagger finn,Vas,6S7o12almFeL57rbRvdY5l
Shakira,La Tortura (feat. Alejandro Sanz),5BSclXJTa9B0iURhUjZo50
Frank Ocean,Thinkin Bout You,7DfFc7a6Rwfi3YQMRbDMau
Dua Lipa,Physical,3AzjcOeAmA57TIOr9zF1ZW
SZA,Love Galore (feat. Travis Scott),0q75NwOoFiARAVp4EXU4Bs
THE ANXIETY,Meet Me At Our Spot,07MDkzWARZaLEdKxo6yArG
Taylor Swift,champagne problems,0sY6ZUTh4yoctD8VIXz339
Morgan Wallen,In The Bible (feat. HARDY),2aw1aEAxMe05MZIS5XiK8U
Mitski,First Love/Late Spring,3sslYZcFKtUvIEWN9lADgr
NCT DREAM,Candy,27bIik73QCu8Xzt3xpG1bI
BLACKPINK,Shut Down,0ARKW62l9uWIDYMZTUmJHF
Oliver Tree,Life Goes On,0eu4C55hL6x29mmeAjytzC
Luke Combs,Beer Never Broke My Heart,7aEtlGHoiPAfRB084NiDmx
Hal,L,5zsVcDTZEKISPTCLYiTdwb
P!nk,Try,1jF7IL57ayN4Ity3jQqGu0
Ricky Montgomery,Mr Loverman,2IVsRhKrx8hlQBOWy4qebo
Cage The Elephant,Cigarette Daydreams,2tznHmp70DxMyr2XhWLOW0
Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco),2Rk4JlNc2TPmZe2af99d45
The Backseat Lovers,Kilby Girl,1170VohRSx6GwE6QDCHPPH
Kings of Leon,Use Somebody,5VGlqQANWDKJFl0MBG3sg2
Mitski,Nobody,2P5yIMu2DNeMXTyOANKS6k
Lady Gaga,Million Reasons,7dZ1Odmx9jWIweQSatnRqo
Justin Bieber,Beauty And A Beat,190jyVPHYjAqEaOGmMzdyk
Quavo,Greatness,2eN0rxTtgxKkmVCNgizayr
Luke Combs,Growin' Up and Gettin' Old,6DdPacpAdYkxV8MCzsjaXu
Taylor Swift,Love Story (Taylor’s Version),3CeCwYWvdfXbZLXFhBrbnf
Mitski,Francis Forever,5411TEB6tlzvuF5A4oyldr
Pritam,Kesariya,4UMIv5jd9gK98a39BQRD9X
Flo Rida,Club Can't Handle Me (feat. David Guetta),6ebkx7Q5tTxrCxKq4GYj0Y
One Direction,You & I,2afCBiru10AFckfOa49wIa
One Direction,Strong,3cKM7UXBZmgjEgEBTkaIlU
Dean Lewis,Half A Man,1ugQtcwmKOXvKAYzhjncmv
Yura Yunita,Dunia Tipu-Tipu,0mMqopQJOWADJSPRMYkvTF
One Direction,Best Song Ever,5T7ZFtCcOgkpjxcuaeZbw0
